,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
268,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52  ,,22200521
269,1627526,Matt Kallio,M. Kallio,Matt,Kallio,88  ,,22200521
270,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200522
271,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200522
272,1627964,Jonathan Sterling,J. Sterling,Jonathan,Sterling,17  ,,22200522
273,101284,John Goble,J. Goble,John,Goble,10  ,,22200506
274,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7   ,,22200506
275,1628480,Robert Hussey,R. Hussey,Robert,Hussey,85  ,,22200506
276,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200512
277,202049,Ben Taylor,B. Taylor,Ben,Taylor,46  ,,22200512
278,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89  ,,22200512
279,2005,Matt Boland,M. Boland,Matt,Boland,18  ,,22200513
280,202027,Tre Maddox,T. Maddox,Tre,Maddox,23  ,,22200513
281,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64  ,,22200513
282,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200499
283,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200499
284,1628172,Evan Scott,E. Scott,Evan,Scott,78  ,,22200499
285,202056,CJ Washington,C. Washington,CJ,Washington,12  ,,22200500
286,202058,James Williams,J. Williams,James,Williams,60  ,,22200500
287,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200500
288,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200503
289,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200503
290,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82  ,,22200503
291,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200497
292,2005,Matt Boland,M. Boland,Matt,Boland,18  ,,22200497
293,202026,Karl Lane,K. Lane,Karl,Lane,77  ,,22200497
294,2530,Ed Malloy,E. Malloy,Ed,Malloy,14  ,,22200480
295,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200480
296,1628171,Brandon Schwab,B. Schwab,Brandon,Schwab,86  ,,22200480
297,2715,Eric Lewis,E. Lewis,Eric,Lewis,42  ,,22200485
298,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200485
299,1628954,Jenna Schroeder,J. Schroeder,Jenna,Schroeder,84  ,,22200485
300,101284,John Goble,J. Goble,John,Goble,10  ,,22200486
301,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200486
302,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28  ,,22200486
303,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200487
304,200832,Curtis Blair,C. Blair,Curtis,Blair,74  ,,22200487
305,1627524,Nate Green,N. Green,Nate,Green,65  ,,22200487
306,202049,Ben Taylor,B. Taylor,Ben,Taylor,46  ,,22200488
307,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50  ,,22200488
308,1626301,Jason Goldenberg,J. Goldenberg,Jason,Goldenberg,35  ,,22200488
309,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200492
310,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52  ,,22200492
311,1630886,Intae Hwang,I. Hwang,Intae,Hwang,96  ,,22200492
312,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200468
313,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68  ,,22200468
314,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28  ,,22200468
315,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200471
316,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200471
317,1628172,Evan Scott,E. Scott,Evan,Scott,78  ,,22200471
318,1148,James Capers,J. Capers,James,Capers,19  ,,22200473
319,2005,Matt Boland,M. Boland,Matt,Boland,18  ,,22200473
320,1628951,John Butler,J. Butler,John,Butler,30  ,,22200473
321,1179,Rodney Mott,R. Mott,Rodney,Mott,71  ,,22200474
322,1193,Michael Smith,M. Smith,Michael,Smith,38  ,,22200474
323,202056,CJ Washington,C. Washington,CJ,Washington,12  ,,22200474
324,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200464
325,202058,James Williams,J. Williams,James,Williams,60  ,,22200464
326,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200464
327,2003,Pat Fraher,P. Fraher,Pat,Fraher,26  ,,22200453
328,202037,J.T. Orr,J. Orr,J.T.,Orr,72  ,,22200453
329,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13  ,,22200453
330,202026,Karl Lane,K. Lane,Karl,Lane,77  ,,22200454
331,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200454
332,1627524,Nate Green,N. Green,Nate,Green,65  ,,22200454
333,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200457
334,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54  ,,22200457
335,1627519,John Conley,J. Conley,John,Conley,79  ,,22200457
336,1148,James Capers,J. Capers,James,Capers,19  ,,22200458
337,203054,Cheryl Flores,C. Flores,Cheryl,Flores,91  ,,22200458
338,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200458
